retrieved;author_id;username;id;created_at(utc);lang;tweet;type;likes;quotes;replies;retweets;tweetcount;followers;following;url
04/08/2022 20:18:38;512613427;DangeRussWilson;1508306988068868097;28/03/2022 04:56:23;en;Two of the Greatest Winners I know! Thanks Coach Tara 🐐 for pushing @A_Willy03 to be her best every day! #WinnersWin  Congrats on the #FinalFour https://t.co/TS8FZs3ehJ;op;2220;2;33;104;12211;5669811;119;https://twitter.com/twitter/status/1508306988068868097
04/08/2022 20:18:38;512613427;DangeRussWilson;1507737278528954370;26/03/2022 15:12:34;en;RT @StanfordWBB: It’s not official until you update the bracket 🌲  #GoStanford https://t.co/JJ53XWQ5He;retweeted;0;0;0;37;12211;5669811;119;https://twitter.com/twitter/status/1507737278528954370
04/08/2022 20:18:38;512613427;DangeRussWilson;1507571499456106499;26/03/2022 04:13:49;en;RT @StanfordWBB: Stanford is 𝗘𝗟𝗜𝗧𝗘.  #GoStanford https://t.co/skzgfjrLoc;retweeted;0;0;0;103;12211;5669811;119;https://twitter.com/twitter/status/1507571499456106499
04/08/2022 20:18:38;512613427;DangeRussWilson;1507536164424601603;26/03/2022 01:53:24;en;Go Cardinal!!! @StanfordWBB  @A_Willy03;op;985;7;27;33;12211;5669811;119;https://twitter.com/twitter/status/1507536164424601603
04/08/2022 20:18:41;512613427;DangeRussWilson;1512572617907060739;08/04/2022 23:26:29;en;Back where I started! June 8, 2010. #NewBeginnings https://t.co/oRhjwdEtBu;op;6762;24;81;411;12211;5669811;119;https://twitter.com/twitter/status/1512572617907060739
04/08/2022 20:18:41;512613427;DangeRussWilson;1512540236525441028;08/04/2022 21:17:48;und;🏔🏔🏔 #NewKidsOnTheBlock 🎯 @Rockies @Broncos @MLB @NFL https://t.co/YvfGBy0BKR;quoted;3390;29;68;255;12211;5669811;119;https://twitter.com/twitter/status/1512540236525441028
04/08/2022 20:18:41;512613427;DangeRussWilson;1512452552972914688;08/04/2022 15:29:23;en;My Love! @Ciara ❤️❤️❤️ @GoodManBrand &amp  @LITAbyCiara https://t.co/YHr3l63wsY;quoted;3749;12;80;162;12211;5669811;119;https://twitter.com/twitter/status/1512452552972914688
04/08/2022 20:18:41;512613427;DangeRussWilson;1512258149452898304;08/04/2022 02:36:53;en;Deep Ball. First of many! @Nuggets @Broncos #LetsRide https://t.co/7CA2UHJCoH;op;10589;167;191;827;12211;5669811;119;https://twitter.com/twitter/status/1512258149452898304
04/08/2022 20:18:41;512613427;DangeRussWilson;1511941841536442370;07/04/2022 05:40:00;en;RT @Broncos: See you Friday, @Rockies. 😉  @DangeRussWilson x #OpeningDay https://t.co/QqvgUZuDSp;retweeted;0;0;0;336;12211;5669811;119;https://twitter.com/twitter/status/1511941841536442370
04/08/2022 20:18:41;512613427;DangeRussWilson;1511899511907573761;07/04/2022 02:51:48;es;¡Hola a todos los fanáticos de los Denver @Broncos en México! @BroncosEspanol @NFL   ¡Montemos! #LetsRide 🐎🧡💙;op;7309;188;329;638;12211;5669811;119;https://twitter.com/twitter/status/1511899511907573761
04/08/2022 20:18:41;512613427;DangeRussWilson;1511761997494317059;06/04/2022 17:45:22;und;👀👀👀 👏🏾👏🏾👏🏾 @SuttonCourtland https://t.co/Fiuo3YH6Gm;quoted;3303;6;34;169;12211;5669811;119;https://twitter.com/twitter/status/1511761997494317059
04/08/2022 20:18:41;512613427;DangeRussWilson;1510647288271556610;03/04/2022 15:55:54;en;“But the fruit of the Spirit is love, joy, peace, forbearance, kindness, goodness, faithfulness, gentleness and self-control. Against such things there is no law.” Galatians 5:22-23 NIV;op;11523;74;304;1304;12211;5669811;119;https://twitter.com/twitter/status/1510647288271556610
04/08/2022 20:18:44;512613427;DangeRussWilson;1515094591384432642;15/04/2022 22:27:54;und;🔥🔥🔥 @3BRAND https://t.co/pA3RTMQHl4;quoted;705;7;31;39;12211;5669811;119;https://twitter.com/twitter/status/1515094591384432642
04/08/2022 20:18:44;512613427;DangeRussWilson;1515018731910430720;15/04/2022 17:26:28;en;GOOD FRIDAY!!! JESUS SACRIFICED IT ALL for ALL OF US!;op;64286;309;1082;7157;12211;5669811;119;https://twitter.com/twitter/status/1515018731910430720
04/08/2022 20:18:44;512613427;DangeRussWilson;1515011202060935174;15/04/2022 16:56:32;en;RT @MiamiLawSchool: .@CoachTrestman, J.D.  82, adjunct faculty &amp  host of #MiamiLaw s @TheLeadershipGP podcast delivers the Entertainment, A…;retweeted;0;0;0;36;12211;5669811;119;https://twitter.com/twitter/status/1515011202060935174
04/08/2022 20:18:44;512613427;DangeRussWilson;1514745568769191943;14/04/2022 23:21:00;en;@GoodManBrand So good! @GoodManBrand keeps growing!!!;replied_to;22;0;1;1;12211;5669811;119;https://twitter.com/twitter/status/1514745568769191943
04/08/2022 20:18:44;512613427;DangeRussWilson;1514709312509153287;14/04/2022 20:56:56;en;Happy Bday PS2! Young Legend! https://t.co/KLvnXu9vvp;quoted;3310;4;38;213;12211;5669811;119;https://twitter.com/twitter/status/1514709312509153287
04/08/2022 20:18:44;512613427;DangeRussWilson;1514062163123445763;13/04/2022 02:05:24;en;Wow! What a catch! ⚾️ @RGrich15 @Rockies;op;3315;38;54;140;12211;5669811;119;https://twitter.com/twitter/status/1514062163123445763
04/08/2022 20:18:44;512613427;DangeRussWilson;1514030699338100738;13/04/2022 00:00:22;en;Dedication. https://t.co/oViraPXT5P;op;10387;81;198;589;12211;5669811;119;https://twitter.com/twitter/status/1514030699338100738
04/08/2022 20:18:44;512613427;DangeRussWilson;1513656631082438661;11/04/2022 23:13:57;en;RT @pac12: 🏆 NCAA champion 🏆 2-time Pac-12 champion 🏆 4-time Pac-12 Tournament champion  The list goes on for @StanfordWBB’s Anna Wilson.…;retweeted;0;0;0;36;12211;5669811;119;https://twitter.com/twitter/status/1513656631082438661
04/08/2022 20:18:44;512613427;DangeRussWilson;1513330842516434951;11/04/2022 01:39:23;en;Wow. Denver Sports 🔥🔥🔥   Congratulations @DU_Hockey!!!;op;8985;37;87;411;12211;5669811;119;https://twitter.com/twitter/status/1513330842516434951
04/08/2022 20:18:44;512613427;DangeRussWilson;1513286885799464960;10/04/2022 22:44:43;en;💼💼💼!!! Game 67! https://t.co/3oByHJLA5D;quoted;1044;0;14;43;12211;5669811;119;https://twitter.com/twitter/status/1513286885799464960
04/08/2022 20:18:44;512613427;DangeRussWilson;1513242159960391682;10/04/2022 19:47:00;en;“Field of Dreams.” My Boyz! @Ciara https://t.co/MObWAU9Q4m;op;2868;19;58;160;12211;5669811;119;https://twitter.com/twitter/status/1513242159960391682
04/08/2022 20:18:44;512613427;DangeRussWilson;1512865602053894146;09/04/2022 18:50:41;en;RT @3BRAND: Let’s ride! #3BRAND https://t.co/aVSnJwEXlM;retweeted;0;0;0;72;12211;5669811;119;https://twitter.com/twitter/status/1512865602053894146
04/08/2022 20:18:44;512613427;DangeRussWilson;1512820618617524224;09/04/2022 15:51:56;en;Praying for your loved ones. Make sure you tell your loved ones how much you love them. Gone too soon. 🙏🏾🙏🏾🙏🏾#RIPDwayneHaskins https://t.co/Tqh0klTlIl;op;25673;91;175;1848;12211;5669811;119;https://twitter.com/twitter/status/1512820618617524224
04/08/2022 20:18:47;512613427;DangeRussWilson;1517667989138509824;23/04/2022 00:53:40;und;@LITAbyCiara 😍❤️‍🔥 @ciara;replied_to;58;0;0;4;12211;5669811;119;https://twitter.com/twitter/status/1517667989138509824
04/08/2022 20:18:47;512613427;DangeRussWilson;1517462360729931779;22/04/2022 11:16:34;en;“I will praise you as long as I live, and in your name I will lift up my hands.” Psalms 63:4 NIV;op;13081;31;142;1244;12211;5669811;119;https://twitter.com/twitter/status/1517462360729931779
04/08/2022 20:18:47;512613427;DangeRussWilson;1517153707330203651;21/04/2022 14:50:05;en;Fear vs Courage. “Limit the Options.” -Tim Grover. https://t.co/vMXt22sC4F;op;733;4;12;103;12211;5669811;119;https://twitter.com/twitter/status/1517153707330203651
04/08/2022 20:18:47;512613427;DangeRussWilson;1517099471502422016;21/04/2022 11:14:35;es;FUEL. https://t.co/psPQuyUZIz;op;3786;21;58;164;12211;5669811;119;https://twitter.com/twitter/status/1517099471502422016
04/08/2022 20:18:47;512613427;DangeRussWilson;1516990130665492482;21/04/2022 04:00:06;en;RT @Broncos: This will never get old. 🤩  @DangeRussWilson ➡️ @jerryjeudy https://t.co/Ur8WN5LAZI;retweeted;0;0;0;213;12211;5669811;119;https://twitter.com/twitter/status/1516990130665492482
04/08/2022 20:18:47;512613427;DangeRussWilson;1516874571827355649;20/04/2022 20:20:54;en;2 close friends &amp  teammates that started together. Balled together. Gave everything we had everyday. We both love Seattle &amp  always dreamed of finishing our careers together. Will forever love Seattle. New Beginnings now but a forever bond. https://t.co/ErcaJyqkfd;quoted;4571;71;183;266;12211;5669811;119;https://twitter.com/twitter/status/1516874571827355649
04/08/2022 20:18:47;512613427;DangeRussWilson;1516380573253595136;19/04/2022 11:37:56;en;““I have told you these things, so that in me you may have peace. In this world you will have trouble. But take heart! I have overcome the world.”” John 16:33 NIV #BVD;op;8480;22;107;693;12211;5669811;119;https://twitter.com/twitter/status/1516380573253595136
